127.0.0.1 - - [28/Sep/2022:21:17:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:17:20 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:17:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:17:54 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2326
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:21:22 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:21:55 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2507
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:26:23 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:26:45 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:30:58 +0530] "GET /JSP_CON/Reg%20Detail.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:32:23 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:32:50 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:36:07 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:36:18 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:44:10 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:44:32 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:47:47 +0530] "POST /JSP_CON/SaveRegistration.jsp HTTP/1.1" 500 2506
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:48:53 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:48:54 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:48:58 +0530] "GET /JSP_CON/index.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [28/Sep/2022:21:49:01 +0530] "GET /JSP_CON/RegDetail.jsp HTTP/1.1" 200 254
